rc_study_id,BioProject,organism,Run,complete
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688546,TRUE
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688547,TRUE
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688548,TRUE
GSE63789,PRJNA269069,Saccharomyces cerevisiae,SRR1688549,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829316,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829317,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829318,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829319,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829320,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829321,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829322,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829323,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829324,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829325,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829326,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829327,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829328,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829329,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829330,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829331,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829332,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829333,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829334,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829335,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829336,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR2829337,TRUE
GSE74393,PRJNA300274,Saccharomyces cerevisiae,SRR3987442,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363412,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363413,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363414,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363415,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363416,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363417,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363418,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363419,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363420,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363421,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363422,TRUE
GSE58321,PRJNA251988,Saccharomyces cerevisiae,SRR1363423,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042853,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042854,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042855,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042856,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042857,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042858,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042859,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042860,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042861,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042862,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042863,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042864,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042865,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042866,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042867,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042868,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042869,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042874,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042875,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042876,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042877,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042878,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042879,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042880,TRUE
GSE52968,PRJNA230577,Saccharomyces cerevisiae,SRR1042881,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945920,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945921,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945922,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945923,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945924,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945925,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945926,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945927,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945928,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945929,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945930,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945931,TRUE
GSE84746,PRJNA330982,Saccharomyces cerevisiae,SRR3945932,TRUE
GSE51164,PRJNA221377,Saccharomyces cerevisiae,SRR1002819,TRUE
GSE51164,PRJNA221377,Saccharomyces cerevisiae,SRR1002820,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398737,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398738,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398739,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398740,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398741,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398742,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398743,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398744,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398745,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398746,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398747,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398748,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398749,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398750,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398751,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398752,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398753,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398754,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398755,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398756,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398757,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398758,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398759,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398760,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398761,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398762,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398763,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398764,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398765,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398766,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398767,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398768,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398769,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398770,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398771,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398772,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398773,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398774,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398775,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398776,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398777,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398778,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398779,TRUE
GSE108334,PRJNA423281,Saccharomyces cerevisiae,SRR6398780,TRUE
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591804,TRUE
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591805,TRUE
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591806,TRUE
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591807,TRUE
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591812,TRUE
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591813,TRUE
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591814,TRUE
GSE81966,PRJNA323510,Saccharomyces cerevisiae,SRR3591815,TRUE
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008134,TRUE
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008135,TRUE
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008136,TRUE
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008137,TRUE
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008138,TRUE
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5008139,TRUE
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5335874,TRUE
GSE89704,PRJNA352976,Saccharomyces cerevisiae,SRR5335875,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055102,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055103,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055104,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055105,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055106,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055107,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055108,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055109,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055110,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055111,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055112,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055113,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055114,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055115,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055116,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055117,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055118,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055119,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055120,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055121,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055122,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055123,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055124,TRUE
GSE152850,PRJNA640641,Saccharomyces cerevisiae,SRR12055125,TRUE
GSE55400,PRJNA239467,Saccharomyces cerevisiae,SRR1177157,TRUE
GSE55400,PRJNA239467,Saccharomyces cerevisiae,SRR1177159,TRUE
GSE55400,PRJNA239467,Saccharomyces cerevisiae,SRR1177162,TRUE
GSE55400,PRJNA239467,Saccharomyces cerevisiae,SRR1177163,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014368,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014369,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014370,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014371,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014372,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014373,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014374,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014375,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014376,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014377,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014378,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014379,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014380,TRUE
GSE13750,PRJNA109405,Saccharomyces cerevisiae,SRR014381,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822445,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822446,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822447,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822448,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822453,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822454,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822455,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822456,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822461,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822462,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822463,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822464,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822469,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822470,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822471,TRUE
GSE66411,PRJNA276827,Saccharomyces cerevisiae,SRR1822472,TRUE
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR1190356,TRUE
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR1190357,TRUE
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR1190358,TRUE
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR1190359,TRUE
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR594900,TRUE
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR594901,TRUE
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR594902,TRUE
GSE41590,PRJNA177820,Saccharomyces cerevisiae,SRR594903,TRUE
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788070,TRUE
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788071,TRUE
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788072,TRUE
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788073,TRUE
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788074,TRUE
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788075,TRUE
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788076,TRUE
GSE45366,PRJNA193543,Saccharomyces cerevisiae,SRR788077,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944912,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944913,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944914,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944915,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944916,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944917,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944918,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944919,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944920,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944921,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944922,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944923,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944936,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944937,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944938,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944939,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944940,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944941,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944948,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944949,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944950,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944951,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944952,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944953,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944960,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944961,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944962,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944963,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944964,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944965,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944966,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944967,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944968,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944969,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944970,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944971,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944972,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944973,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944974,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944975,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944976,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944977,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944978,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944979,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944980,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944981,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944982,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944983,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944984,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944985,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944986,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944987,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944988,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944989,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944990,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944991,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944992,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944993,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944994,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944995,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944996,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944997,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944998,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1944999,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1945000,TRUE
GSE67387,PRJNA279785,Saccharomyces cerevisiae,SRR1945001,TRUE
GSE64304,PRJNA270712,Saccharomyces cerevisiae,SRR1722638,TRUE
GSE64304,PRJNA270712,Saccharomyces cerevisiae,SRR1722639,TRUE
GSE64304,PRJNA270712,Saccharomyces cerevisiae,SRR1722640,TRUE
GSE64304,PRJNA270712,Saccharomyces cerevisiae,SRR1722641,TRUE
GSE53313,PRJNA231673,Saccharomyces cerevisiae,SRR1049521,TRUE
GSE85036,PRJNA336005,Saccharomyces cerevisiae,SRR3991716,TRUE
GSE85036,PRJNA336005,Saccharomyces cerevisiae,SRR3991717,TRUE
GSE85036,PRJNA336005,Saccharomyces cerevisiae,SRR3991718,TRUE
GSE85036,PRJNA336005,Saccharomyces cerevisiae,SRR3991719,TRUE
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389612,TRUE
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389613,TRUE
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389614,TRUE
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389615,TRUE
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389616,TRUE
GSE34438,PRJNA156379,Saccharomyces cerevisiae,SRR389617,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562873,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562874,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562875,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562876,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562877,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562878,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562879,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562880,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562881,TRUE
GSE61011,PRJNA260072,Saccharomyces cerevisiae,SRR1562882,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562883,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562884,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562885,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562886,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562887,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562888,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562889,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562890,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562891,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562892,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562893,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562894,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562895,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562896,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562897,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562898,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562899,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562900,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562901,TRUE
GSE61012,PRJNA260073,Saccharomyces cerevisiae,SRR1562902,TRUE
